job_id,prompt_version,field,jaccard,token_f1
JOB_0243,P1,hard_skills,0.432836,0.604167
JOB_0243,P1,soft_skills,0.615385,0.761905
JOB_0243,P1,ai_tech_stack,1.0,1.0
JOB_0238,P1,hard_skills,0.505263,0.671329
JOB_0238,P1,soft_skills,0.966667,0.983051
JOB_0238,P1,ai_tech_stack,1.0,1.0
JOB_0242,P1,hard_skills,0.432836,0.604167
JOB_0242,P1,soft_skills,0.807692,0.893617
JOB_0242,P1,ai_tech_stack,1.0,1.0
JOB_0151,P1,hard_skills,0.75,0.857143
JOB_0151,P1,soft_skills,0.652174,0.789474
JOB_0151,P1,ai_tech_stack,0.413043,0.584615
JOB_0183,P1,hard_skills,0.491525,0.659091
JOB_0183,P1,soft_skills,0.0,0.0
JOB_0183,P1,ai_tech_stack,0.35,0.518519
JOB_0152,P1,hard_skills,0.678571,0.808511
JOB_0152,P1,soft_skills,0.486486,0.654545
JOB_0152,P1,ai_tech_stack,0.444444,0.615385
JOB_0043,P1,hard_skills,1.0,1.0
JOB_0043,P1,soft_skills,1.0,1.0
JOB_0043,P1,ai_tech_stack,1.0,1.0
JOB_0182,P1,hard_skills,0.305556,0.468085
JOB_0182,P1,soft_skills,0.0,0.0
JOB_0182,P1,ai_tech_stack,0.486486,0.654545
JOB_0181,P1,hard_skills,0.511111,0.676471
JOB_0181,P1,soft_skills,0.0,0.0
JOB_0181,P1,ai_tech_stack,0.3,0.461538
JOB_0014,P1,hard_skills,1.0,1.0
JOB_0014,P1,soft_skills,1.0,1.0
JOB_0014,P1,ai_tech_stack,1.0,1.0
JOB_0080,P1,hard_skills,1.0,1.0
JOB_0080,P1,soft_skills,1.0,1.0
JOB_0080,P1,ai_tech_stack,1.0,1.0
JOB_0105,P1,hard_skills,0.5,0.666667
JOB_0105,P1,soft_skills,1.0,1.0
JOB_0105,P1,ai_tech_stack,1.0,1.0
JOB_0122,P1,hard_skills,0.284672,0.443182
JOB_0122,P1,soft_skills,0.0,0.0
JOB_0122,P1,ai_tech_stack,1.0,1.0
JOB_0099,P1,hard_skills,0.396226,0.567568
JOB_0099,P1,soft_skills,1.0,1.0
JOB_0099,P1,ai_tech_stack,0.878788,0.935484
JOB_0161,P1,hard_skills,0.575758,0.730769
JOB_0161,P1,soft_skills,0.942857,0.970588
JOB_0161,P1,ai_tech_stack,0.633333,0.77551
JOB_0160,P1,hard_skills,1.0,1.0
JOB_0160,P1,soft_skills,1.0,1.0
JOB_0160,P1,ai_tech_stack,1.0,1.0
JOB_0154,P1,hard_skills,0.948718,0.973684
JOB_0154,P1,soft_skills,0.761905,0.864865
JOB_0154,P1,ai_tech_stack,0.375,0.545455
JOB_0244,P1,hard_skills,0.75,0.857143
JOB_0244,P1,soft_skills,0.90625,0.95082
JOB_0244,P1,ai_tech_stack,1.0,1.0
JOB_0245,P1,hard_skills,1.0,1.0
JOB_0245,P1,soft_skills,1.0,1.0
JOB_0245,P1,ai_tech_stack,1.0,1.0
JOB_0199,P1,hard_skills,0.371429,0.541667
JOB_0199,P1,soft_skills,1.0,1.0
JOB_0199,P1,ai_tech_stack,1.0,1.0
JOB_0197,P1,hard_skills,0.227848,0.371134
JOB_0197,P1,soft_skills,0.0,0.0
JOB_0197,P1,ai_tech_stack,1.0,1.0
JOB_0178,P1,hard_skills,0.405797,0.57732
JOB_0178,P1,soft_skills,0.0,0.0
JOB_0178,P1,ai_tech_stack,1.0,1.0
JOB_0195,P1,hard_skills,0.278481,0.435644
JOB_0195,P1,soft_skills,0.0,0.0
JOB_0195,P1,ai_tech_stack,1.0,1.0
JOB_0180,P1,hard_skills,0.365591,0.535433
JOB_0180,P1,soft_skills,0.0,0.0
JOB_0180,P1,ai_tech_stack,1.0,1.0
JOB_0176,P1,hard_skills,0.175,0.297872
JOB_0176,P1,soft_skills,0.0,0.0
JOB_0176,P1,ai_tech_stack,1.0,1.0
JOB_0205,P1,hard_skills,1.0,1.0
JOB_0205,P1,soft_skills,1.0,1.0
JOB_0205,P1,ai_tech_stack,1.0,1.0
JOB_0212,P1,hard_skills,1.0,1.0
JOB_0212,P1,soft_skills,1.0,1.0
JOB_0212,P1,ai_tech_stack,1.0,1.0
JOB_0171,P1,hard_skills,0.441176,0.612245
JOB_0171,P1,soft_skills,0.0,0.0
JOB_0171,P1,ai_tech_stack,0.59375,0.745098
JOB_0209,P1,hard_skills,1.0,1.0
JOB_0209,P1,soft_skills,1.0,1.0
JOB_0209,P1,ai_tech_stack,0.809524,0.894737
JOB_0173,P1,hard_skills,0.701299,0.824427
JOB_0173,P1,soft_skills,0.0,0.0
JOB_0173,P1,ai_tech_stack,0.235294,0.380952
JOB_0175,P1,hard_skills,1.0,1.0
JOB_0175,P1,soft_skills,1.0,1.0
JOB_0175,P1,ai_tech_stack,0.254902,0.40625
JOB_0129,P1,hard_skills,0.442308,0.613333
JOB_0129,P1,soft_skills,0.0,0.0
JOB_0129,P1,ai_tech_stack,1.0,1.0
JOB_0140,P1,hard_skills,0.072165,0.134615
JOB_0140,P1,soft_skills,0.0,0.0
JOB_0140,P1,ai_tech_stack,1.0,1.0
JOB_0005,P1,hard_skills,1.0,1.0
JOB_0005,P1,soft_skills,1.0,1.0
JOB_0005,P1,ai_tech_stack,1.0,1.0
JOB_0135,P1,hard_skills,0.284672,0.443182
JOB_0135,P1,soft_skills,1.0,1.0
JOB_0135,P1,ai_tech_stack,1.0,1.0
JOB_0009,P1,hard_skills,1.0,1.0
JOB_0009,P1,soft_skills,1.0,1.0
JOB_0009,P1,ai_tech_stack,1.0,1.0
JOB_0003,P1,hard_skills,1.0,1.0
JOB_0003,P1,soft_skills,1.0,1.0
JOB_0003,P1,ai_tech_stack,1.0,1.0
JOB_0188,P1,hard_skills,0.220339,0.361111
JOB_0188,P1,soft_skills,0.0,0.0
JOB_0188,P1,ai_tech_stack,0.428571,0.6
JOB_0192,P1,hard_skills,0.194444,0.325581
JOB_0192,P1,soft_skills,0.0,0.0
JOB_0192,P1,ai_tech_stack,0.375,0.545455
JOB_0186,P1,hard_skills,0.12069,0.215385
JOB_0186,P1,soft_skills,0.0,0.0
JOB_0186,P1,ai_tech_stack,0.605263,0.754098
JOB_0147,P1,hard_skills,0.622951,0.767677
JOB_0147,P1,soft_skills,1.0,1.0
JOB_0147,P1,ai_tech_stack,1.0,1.0
JOB_0145,P1,hard_skills,0.296296,0.457143
JOB_0145,P1,soft_skills,0.0,0.0
JOB_0145,P1,ai_tech_stack,1.0,1.0
JOB_0144,P1,hard_skills,0.958333,0.978723
JOB_0144,P1,soft_skills,0.923077,0.96
JOB_0144,P1,ai_tech_stack,0.761905,0.864865
JOB_0238,P2,hard_skills,0.382022,0.552846
JOB_0238,P2,soft_skills,1.0,1.0
JOB_0238,P2,ai_tech_stack,1.0,1.0
JOB_0243,P2,hard_skills,0.238806,0.385542
JOB_0243,P2,soft_skills,0.615385,0.761905
JOB_0243,P2,ai_tech_stack,1.0,1.0
JOB_0242,P2,hard_skills,0.238806,0.385542
JOB_0242,P2,soft_skills,0.615385,0.761905
JOB_0242,P2,ai_tech_stack,1.0,1.0
JOB_0151,P2,hard_skills,0.666667,0.8
JOB_0151,P2,soft_skills,0.413043,0.584615
JOB_0151,P2,ai_tech_stack,0.413043,0.584615
JOB_0183,P2,hard_skills,0.491525,0.659091
JOB_0183,P2,soft_skills,0.0,0.0
JOB_0183,P2,ai_tech_stack,0.075,0.139535
JOB_0152,P2,hard_skills,0.785714,0.88
JOB_0152,P2,soft_skills,0.351351,0.52
JOB_0152,P2,ai_tech_stack,0.259259,0.411765
JOB_0181,P2,hard_skills,0.511111,0.676471
JOB_0181,P2,soft_skills,0.0,0.0
JOB_0181,P2,ai_tech_stack,0.0,0.0
JOB_0043,P2,hard_skills,1.0,1.0
JOB_0043,P2,soft_skills,1.0,1.0
JOB_0043,P2,ai_tech_stack,1.0,1.0
JOB_0182,P2,hard_skills,0.083333,0.153846
JOB_0182,P2,soft_skills,0.0,0.0
JOB_0182,P2,ai_tech_stack,0.189189,0.318182
JOB_0014,P2,hard_skills,1.0,1.0
JOB_0014,P2,soft_skills,1.0,1.0
JOB_0014,P2,ai_tech_stack,1.0,1.0
JOB_0080,P2,hard_skills,0.571429,0.727273
JOB_0080,P2,soft_skills,0.0,0.0
JOB_0080,P2,ai_tech_stack,0.0,0.0
JOB_0105,P2,hard_skills,0.5,0.666667
JOB_0105,P2,soft_skills,1.0,1.0
JOB_0105,P2,ai_tech_stack,0.571429,0.727273
JOB_0122,P2,hard_skills,0.284672,0.443182
JOB_0122,P2,soft_skills,0.0,0.0
JOB_0122,P2,ai_tech_stack,1.0,1.0
JOB_0099,P2,hard_skills,0.396226,0.567568
JOB_0099,P2,soft_skills,1.0,1.0
JOB_0099,P2,ai_tech_stack,0.878788,0.935484
JOB_0161,P2,hard_skills,0.575758,0.730769
JOB_0161,P2,soft_skills,0.857143,0.923077
JOB_0161,P2,ai_tech_stack,0.266667,0.421053
JOB_0244,P2,hard_skills,0.75,0.857143
JOB_0244,P2,soft_skills,0.8125,0.896552
JOB_0244,P2,ai_tech_stack,1.0,1.0
JOB_0154,P2,hard_skills,0.948718,0.973684
JOB_0154,P2,soft_skills,0.761905,0.864865
JOB_0154,P2,ai_tech_stack,0.3125,0.47619
JOB_0160,P2,hard_skills,1.0,1.0
JOB_0160,P2,soft_skills,1.0,1.0
JOB_0160,P2,ai_tech_stack,0.545455,0.705882
JOB_0245,P2,hard_skills,1.0,1.0
JOB_0245,P2,soft_skills,1.0,1.0
JOB_0245,P2,ai_tech_stack,1.0,1.0
JOB_0199,P2,hard_skills,0.0,0.0
JOB_0199,P2,soft_skills,1.0,1.0
JOB_0199,P2,ai_tech_stack,1.0,1.0
JOB_0195,P2,hard_skills,0.089744,0.164706
JOB_0195,P2,soft_skills,0.0,0.0
JOB_0195,P2,ai_tech_stack,1.0,1.0
JOB_0197,P2,hard_skills,0.065789,0.123457
JOB_0197,P2,soft_skills,0.0,0.0
JOB_0197,P2,ai_tech_stack,1.0,1.0
JOB_0178,P2,hard_skills,0.188406,0.317073
JOB_0178,P2,soft_skills,0.0,0.0
JOB_0178,P2,ai_tech_stack,1.0,1.0
JOB_0176,P2,hard_skills,0.1125,0.202247
JOB_0176,P2,soft_skills,0.0,0.0
JOB_0176,P2,ai_tech_stack,1.0,1.0
JOB_0180,P2,hard_skills,0.333333,0.5
JOB_0180,P2,soft_skills,0.0,0.0
JOB_0180,P2,ai_tech_stack,1.0,1.0
JOB_0205,P2,hard_skills,0.782609,0.878049
JOB_0205,P2,soft_skills,1.0,1.0
JOB_0205,P2,ai_tech_stack,1.0,1.0
JOB_0212,P2,hard_skills,1.0,1.0
JOB_0212,P2,soft_skills,1.0,1.0
JOB_0212,P2,ai_tech_stack,1.0,1.0
JOB_0171,P2,hard_skills,0.441176,0.612245
JOB_0171,P2,soft_skills,0.0,0.0
JOB_0171,P2,ai_tech_stack,0.0,0.0
JOB_0209,P2,hard_skills,1.0,1.0
JOB_0209,P2,soft_skills,1.0,1.0
JOB_0209,P2,ai_tech_stack,0.047619,0.090909
JOB_0175,P2,hard_skills,0.789474,0.882353
JOB_0175,P2,soft_skills,0.0,0.0
JOB_0175,P2,ai_tech_stack,0.0,0.0
JOB_0173,P2,hard_skills,0.532468,0.694915
JOB_0173,P2,soft_skills,0.0,0.0
JOB_0173,P2,ai_tech_stack,0.0,0.0
JOB_0129,P2,hard_skills,0.407767,0.57931
JOB_0129,P2,soft_skills,1.0,1.0
JOB_0129,P2,ai_tech_stack,1.0,1.0
JOB_0140,P2,hard_skills,0.072165,0.134615
JOB_0140,P2,soft_skills,0.0,0.0
JOB_0140,P2,ai_tech_stack,1.0,1.0
JOB_0135,P2,hard_skills,0.311111,0.474576
JOB_0135,P2,soft_skills,1.0,1.0
JOB_0135,P2,ai_tech_stack,1.0,1.0
JOB_0005,P2,hard_skills,1.0,1.0
JOB_0005,P2,soft_skills,1.0,1.0
JOB_0005,P2,ai_tech_stack,1.0,1.0
JOB_0009,P2,hard_skills,1.0,1.0
JOB_0009,P2,soft_skills,1.0,1.0
JOB_0009,P2,ai_tech_stack,1.0,1.0
JOB_0003,P2,hard_skills,1.0,1.0
JOB_0003,P2,soft_skills,1.0,1.0
JOB_0003,P2,ai_tech_stack,1.0,1.0
JOB_0188,P2,hard_skills,0.118644,0.212121
JOB_0188,P2,soft_skills,0.0,0.0
JOB_0188,P2,ai_tech_stack,0.257143,0.409091
JOB_0192,P2,hard_skills,0.166667,0.285714
JOB_0192,P2,soft_skills,0.0,0.0
JOB_0192,P2,ai_tech_stack,0.0,0.0
JOB_0147,P2,hard_skills,0.655738,0.792079
JOB_0147,P2,soft_skills,1.0,1.0
JOB_0147,P2,ai_tech_stack,1.0,1.0
JOB_0186,P2,hard_skills,0.142857,0.25
JOB_0186,P2,soft_skills,0.0,0.0
JOB_0186,P2,ai_tech_stack,0.421053,0.592593
JOB_0145,P2,hard_skills,0.296296,0.457143
JOB_0145,P2,soft_skills,0.0,0.0
JOB_0145,P2,ai_tech_stack,1.0,1.0
JOB_0238,P3,hard_skills,0.0,0.0
JOB_0238,P3,soft_skills,0.0,0.0
JOB_0238,P3,ai_tech_stack,1.0,1.0
JOB_0144,P2,hard_skills,0.958333,0.978723
JOB_0144,P2,soft_skills,0.923077,0.96
JOB_0144,P2,ai_tech_stack,0.761905,0.864865
JOB_0243,P3,hard_skills,0.470588,0.64
JOB_0243,P3,soft_skills,0.269231,0.424242
JOB_0243,P3,ai_tech_stack,1.0,1.0
JOB_0242,P3,hard_skills,0.470588,0.64
JOB_0242,P3,soft_skills,0.269231,0.424242
JOB_0242,P3,ai_tech_stack,1.0,1.0
JOB_0151,P3,hard_skills,0.75,0.857143
JOB_0151,P3,soft_skills,0.413043,0.584615
JOB_0151,P3,ai_tech_stack,0.511111,0.676471
JOB_0152,P3,hard_skills,0.785714,0.88
JOB_0152,P3,soft_skills,0.5,0.666667
JOB_0152,P3,ai_tech_stack,0.528302,0.691358
JOB_0183,P3,hard_skills,0.491525,0.659091
JOB_0183,P3,soft_skills,0.0,0.0
JOB_0183,P3,ai_tech_stack,0.35,0.518519
JOB_0181,P3,hard_skills,0.466667,0.636364
JOB_0181,P3,soft_skills,0.0,0.0
JOB_0181,P3,ai_tech_stack,0.32,0.484848
JOB_0043,P3,hard_skills,1.0,1.0
JOB_0043,P3,soft_skills,1.0,1.0
JOB_0043,P3,ai_tech_stack,1.0,1.0
JOB_0014,P3,hard_skills,1.0,1.0
JOB_0014,P3,soft_skills,1.0,1.0
JOB_0014,P3,ai_tech_stack,1.0,1.0
JOB_0182,P3,hard_skills,0.083333,0.153846
JOB_0182,P3,soft_skills,0.0,0.0
JOB_0182,P3,ai_tech_stack,0.243243,0.391304
JOB_0080,P3,hard_skills,0.571429,0.727273
JOB_0080,P3,soft_skills,0.0,0.0
JOB_0080,P3,ai_tech_stack,1.0,1.0
JOB_0105,P3,hard_skills,0.363636,0.533333
JOB_0105,P3,soft_skills,1.0,1.0
JOB_0105,P3,ai_tech_stack,1.0,1.0
JOB_0122,P3,hard_skills,0.308824,0.47191
JOB_0122,P3,soft_skills,0.0,0.0
JOB_0122,P3,ai_tech_stack,1.0,1.0
JOB_0099,P3,hard_skills,0.396226,0.567568
JOB_0099,P3,soft_skills,1.0,1.0
JOB_0099,P3,ai_tech_stack,0.878788,0.935484
JOB_0161,P3,hard_skills,0.575758,0.730769
JOB_0161,P3,soft_skills,0.694444,0.819672
JOB_0161,P3,ai_tech_stack,0.266667,0.421053
JOB_0160,P3,hard_skills,0.705882,0.827586
JOB_0160,P3,soft_skills,0.551724,0.711111
JOB_0160,P3,ai_tech_stack,0.545455,0.705882
JOB_0154,P3,hard_skills,0.871795,0.931507
JOB_0154,P3,soft_skills,0.619048,0.764706
JOB_0154,P3,ai_tech_stack,0.375,0.545455
JOB_0244,P3,hard_skills,0.75,0.857143
JOB_0244,P3,soft_skills,0.8125,0.896552
JOB_0244,P3,ai_tech_stack,1.0,1.0
JOB_0245,P3,hard_skills,0.794118,0.885246
JOB_0245,P3,soft_skills,0.828571,0.90625
JOB_0245,P3,ai_tech_stack,1.0,1.0
JOB_0199,P3,hard_skills,0.0,0.0
JOB_0199,P3,soft_skills,1.0,1.0
JOB_0199,P3,ai_tech_stack,1.0,1.0
JOB_0197,P3,hard_skills,0.054054,0.102564
JOB_0197,P3,soft_skills,0.0,0.0
JOB_0197,P3,ai_tech_stack,1.0,1.0
JOB_0195,P3,hard_skills,0.054054,0.102564
JOB_0195,P3,soft_skills,0.0,0.0
JOB_0195,P3,ai_tech_stack,1.0,1.0
JOB_0178,P3,hard_skills,0.188406,0.317073
JOB_0178,P3,soft_skills,0.0,0.0
JOB_0178,P3,ai_tech_stack,1.0,1.0
JOB_0180,P3,hard_skills,0.022222,0.043478
JOB_0180,P3,soft_skills,0.0,0.0
JOB_0180,P3,ai_tech_stack,1.0,1.0
JOB_0176,P3,hard_skills,0.1125,0.202247
JOB_0176,P3,soft_skills,0.0,0.0
JOB_0176,P3,ai_tech_stack,1.0,1.0
JOB_0205,P3,hard_skills,0.25,0.4
JOB_0205,P3,soft_skills,1.0,1.0
JOB_0205,P3,ai_tech_stack,1.0,1.0
JOB_0212,P3,hard_skills,1.0,1.0
JOB_0212,P3,soft_skills,1.0,1.0
JOB_0212,P3,ai_tech_stack,1.0,1.0
JOB_0171,P3,hard_skills,0.441176,0.612245
JOB_0171,P3,soft_skills,0.0,0.0
JOB_0171,P3,ai_tech_stack,0.0,0.0
JOB_0209,P3,hard_skills,1.0,1.0
JOB_0209,P3,soft_skills,1.0,1.0
JOB_0209,P3,ai_tech_stack,0.045455,0.086957
JOB_0173,P3,hard_skills,0.532468,0.694915
JOB_0173,P3,soft_skills,0.0,0.0
JOB_0173,P3,ai_tech_stack,0.0,0.0
JOB_0175,P3,hard_skills,0.578947,0.733333
JOB_0175,P3,soft_skills,0.0,0.0
JOB_0175,P3,ai_tech_stack,0.0,0.0
JOB_0129,P3,hard_skills,0.427184,0.598639
JOB_0129,P3,soft_skills,1.0,1.0
JOB_0129,P3,ai_tech_stack,1.0,1.0
JOB_0140,P3,hard_skills,0.072165,0.134615
JOB_0140,P3,soft_skills,0.0,0.0
JOB_0140,P3,ai_tech_stack,1.0,1.0
JOB_0135,P3,hard_skills,0.29927,0.460674
JOB_0135,P3,soft_skills,1.0,1.0
JOB_0135,P3,ai_tech_stack,1.0,1.0
JOB_0005,P3,hard_skills,1.0,1.0
JOB_0005,P3,soft_skills,1.0,1.0
JOB_0005,P3,ai_tech_stack,1.0,1.0
