company_code,company_name,segment,net_profit_attributable_yuan,revenue_yuan,total_assets_yuan,core_ai_directions,direction_keywords,total_assets_billion_yuan,revenue_billion_yuan,net_profit_billion_yuan,net_profit_margin,asset_size_group
300059.SZ,东方财富,证券与资管科技,12084594947.22,16067741039.51,392933744976.2,金融业务场景；数据与安全；工程与基础设施,财务SaaS、供应链金融、量化投资、财富管理、业财一体化、资产管理、银行IT、开放银行、信贷风控、数字银行；金融大数据、数据资产、数据仓库、数据质量、主数据管理、多方安全计算、零信任、隐私计算、流式计算；金融云、云计算,392.9337449762,16.06774103951,12.08459494722,0.7521029196017295,高资产组
002230.SZ,科大讯飞,泛金融AI底座,839390861.36,27105390547.66,44857109349.34,大模型与语言技术；人工智能基础；工程与基础设施,智能客服、智能问答、大语言模型、语音识别、语音合成、提示工程；人工智能、AIGC、模型部署、模型可解释性、模型治理、模型训练；云计算、AIOps、高可用,44.85710934933999,27.10539054766,0.83939086136,0.030967672643715676,高资产组
600570.SH,恒生电子,证券与资管科技,1231182835.03,5782928939.92,15907117992.47,工程与基础设施；视觉与智能决策；金融业务场景,金融云、AIOps；推荐系统、决策引擎；业财一体化、量化投资、核心银行系统、财务SaaS、支付清算、数字银行、资产管理、税务数字化、信用评分、银行IT、财富管理、开放银行、供应链金融,15.907117992469999,5.78292893992,1.23118283503,0.2128995268351044,高资产组
300033.SZ,同花顺,证券与资管科技,3205082002.69,6028985966.48,15832994333.52,数据与安全；工程与基础设施；金融业务场景,金融大数据、数据治理、主数据管理、数据质量、数据资产、数据血缘、数据仓库、数据湖、网络安全、多方安全计算、安全运营、智能合约；金融云、微服务；核心银行系统、供应链金融、量化投资、银行IT、财务SaaS、财务共享,15.83299433352,6.02898596648,3.20508200269,0.5316121186066178,高资产组
000555.SZ,神州信息,银行科技,56428334.46,13162811905.52,12525575558.1,工程与基础设施；大模型与语言技术；数据与安全,金融云、分布式架构、云计算；智能客服、信息抽取；金融大数据、主数据管理、数据资产、数据治理、数据质量、数据仓库、数据血缘,12.5255755581,13.16281190552,0.05642833446,0.0042869513645740105,高资产组
603927.SH,中科软,保险科技,223944681.56,6028200653.02,7994112191.21,人工智能基础；视觉与智能决策；大模型与语言技术,人工智能；推荐系统；信息抽取、智能客服、智能问答、提示工程,7.99411219121,6.028200653020001,0.22394468156,0.03714950686782605,中资产组
300674.SZ,宇信科技,银行科技,431843595.03,3623081673.57,6818799864.19,人工智能基础；工程与基础设施；金融业务场景,人工智能、深度学习、AIGC；金融云、AIOps、云计算；银行IT、核心银行系统、信贷风控、财务SaaS、供应链金融、合规科技、RPA、业财一体化、量化投资、财务共享,6.81879986419,3.62308167357,0.43184359502999997,0.11919234340761722,中资产组
600446.SH,金证股份,证券与资管科技,-168353895.22,2418857503.49,5458738027.91,人工智能基础；数据与安全；大模型与语言技术,人工智能、AIGC；金融大数据、数据资产、数据质量、主数据管理、智能合约、多方安全计算、隐私计算；智能客服、智能问答、提示工程,5.45873802791,2.41885750349,-0.16835389522,-0.06960058415061407,中资产组
300872.SZ,天阳科技,银行科技,-138135742.49,1776871711.48,4784424654.8,人工智能基础；工程与基础设施；金融业务场景,人工智能；金融云、云计算、国产化；核心银行系统、银行IT、智能交易、财务SaaS、数字银行、供应链金融、业财一体化、量化投资、税务数字化、财富管理,4.7844246548000005,1.7768717114800001,-0.13813574249000002,-0.07774097679507957,中资产组
300229.SZ,拓尔思,泛金融AI底座,-293749397.56,511344793.45,4207791883.05,人工智能基础；视觉与智能决策；大模型与语言技术,人工智能、深度学习、AIGC、模型可解释性；决策引擎；信息抽取、提示工程、智能问答、智能客服、生成式人工智能,4.2077918830500005,0.51134479345,-0.29374939756,-0.5744644344143952,中资产组
002987.SZ,京北方,银行与保险科技,327388083.1,4839049619.2,3560501383.8,数据与安全；人工智能基础；工程与基础设施,金融大数据、主数据管理、数据资产、数据质量、数据治理、多方安全计算；人工智能、模型可解释性；金融云、云计算、AIOps,3.5605013838,4.8390496192,0.3273880831,0.06765545073169231,低资产组
688590.SH,新致软件,保险科技,-127365589.93,2106579792.56,3210084146.61,数据与安全；工程与基础设施；金融业务场景,多方安全计算、金融大数据、主数据管理、流式计算、实时计算、隐私计算、数据资产、数据质量；金融云、国产化、云计算；核心银行系统、供应链金融、信贷风控、财务SaaS、银行IT、量化投资、业财一体化、税务数字化、数字人民币、财务共享,3.2100841466100003,2.10657979256,-0.12736558993,-0.060460842916954145,低资产组
300348.SZ,长亮科技,银行科技,20596720.59,1957934999.09,2951093993.73,工程与基础设施；人工智能基础；金融业务场景,国产化、AIOps；深度学习、人工智能、AIGC；量化投资、财务SaaS、财务共享、业财一体化、税务数字化、智能交易、银行IT、财富管理、数字银行、核心银行系统,2.95109399373,1.95793499909,0.02059672059,0.010519614082986845,低资产组
300377.SZ,赢时胜,证券与资管科技,-5260651.89,1373047831.21,2754606206.17,大模型与语言技术；金融业务场景；数据与安全,信息抽取；财务SaaS、量化投资、信贷风控、业财一体化、银行IT、信用评分、财务共享、核心银行系统、供应链金融；实时计算、多方安全计算、数据资产、数据质量、流式计算、金融大数据、隐私计算,2.75460620617,1.37304783121,-0.00526065189,-0.0038313682673123224,低资产组
300663.SZ,科蓝软件,银行科技,-394960371.14,590844813.06,1766409273.43,大模型与语言技术；金融业务场景；数据与安全,智能客服、提示工程；核心银行系统、银行IT、财务SaaS、业财一体化、税务数字化、供应链金融、信贷风控；主数据管理、金融大数据、数据资产、安全运营、多方安全计算、数据质量、数据治理、流式计算,1.76640927343,0.5908448130599999,-0.39496037114,-0.6684671886928997,低资产组
